date,hospital_id,hospital_name,region,drug_name,quantity_used,quantity_requested,quantity_received
2024-11-11,H001,Green Valley Hospital,South,Insulin,68,93,93
2024-11-18,H001,Green Valley Hospital,South,Insulin,61,73,73
2024-11-25,H001,Green Valley Hospital,South,Insulin,64,74,69
2024-12-02,H001,Green Valley Hospital,South,Insulin,85,89,89
2024-12-09,H001,Green Valley Hospital,South,Insulin,65,72,60
2024-12-16,H001,Green Valley Hospital,South,Insulin,66,88,88
2024-12-23,H001,Green Valley Hospital,South,Insulin,73,79,74
2024-01-01,H002,City Care Hospital,North,Azithromycin,79,83,83
2024-01-08,H002,City Care Hospital,North,Azithromycin,80,93,93
2024-01-15,H002,City Care Hospital,North,Azithromycin,93,114,109
2024-01-22,H002,City Care Hospital,North,Azithromycin,91,94,94
2024-01-29,H002,City Care Hospital,North,Azithromycin,83,94,94
2024-02-05,H002,City Care Hospital,North,Azithromycin,102,123,123
2024-02-12,H002,City Care Hospital,North,Azithromycin,102,122,110
2024-02-19,H002,City Care Hospital,North,Azithromycin,97,113,113
2024-02-26,H002,City Care Hospital,North,Azithromycin,99,108,103
2024-03-04,H002,City Care Hospital,North,Azithromycin,103,114,114
2024-03-11,H002,City Care Hospital,North,Azithromycin,99,123,118
2024-03-18,H002,City Care Hospital,North,Azithromycin,96,98,98
2024-03-25,H002,City Care Hospital,North,Azithromycin,107,122,122
2024-04-01,H002,City Care Hospital,North,Azithromycin,97,106,94
2024-04-08,H002,City Care Hospital,North,Azithromycin,109,127,115
2024-04-15,H002,City Care Hospital,North,Azithromycin,98,122,122
2024-04-22,H002,City Care Hospital,North,Azithromycin,107,113,113
2024-04-29,H002,City Care Hospital,North,Azithromycin,106,121,121
2024-05-06,H002,City Care Hospital,North,Azithromycin,118,142,142
2024-05-13,H002,City Care Hospital,North,Azithromycin,101,119,119
2024-05-20,H002,City Care Hospital,North,Azithromycin,98,99,87
2024-05-27,H002,City Care Hospital,North,Azithromycin,102,121,121
2024-06-03,H002,City Care Hospital,North,Azithromycin,99,99,99
2024-06-10,H002,City Care Hospital,North,Azithromycin,102,108,108
2024-06-17,H002,City Care Hospital,North,Azithromycin,107,128,128
2024-06-24,H002,City Care Hospital,North,Azithromycin,108,109,109
2024-07-01,H002,City Care Hospital,North,Azithromycin,113,123,123
2024-07-08,H002,City Care Hospital,North,Azithromycin,98,112,107
2024-07-15,H002,City Care Hospital,North,Azithromycin,117,124,124
2024-07-22,H002,City Care Hospital,North,Azithromycin,113,136,136
2024-07-29,H002,City Care Hospital,North,Azithromycin,99,104,104
2024-08-05,H002,City Care Hospital,North,Azithromycin,86,111,111
2024-08-12,H002,City Care Hospital,North,Azithromycin,99,124,124
2024-08-19,H002,City Care Hospital,North,Azithromycin,99,122,110
2024-08-26,H002,City Care Hospital,North,Azithromycin,85,99,99
2024-09-02,H002,City Care Hospital,North,Azithromycin,99,122,110
2024-09-09,H002,City Care Hospital,North,Azithromycin,97,100,100
2024-09-16,H002,City Care Hospital,North,Azithromycin,94,113,108
2024-09-23,H002,City Care Hospital,North,Azithromycin,103,117,117
2024-09-30,H002,City Care Hospital,North,Azithromycin,106,107,107
2024-10-07,H002,City Care Hospital,North,Azithromycin,98,114,102
2024-10-14,H002,City Care Hospital,North,Azithromycin,103,106,101
2024-10-21,H002,City Care Hospital,North,Azithromycin,99,119,119
2024-10-28,H002,City Care Hospital,North,Azithromycin,99,112,100
2024-11-04,H002,City Care Hospital,North,Azithromycin,106,117,117
2024-11-11,H002,City Care Hospital,North,Azithromycin,110,121,121
2024-11-18,H002,City Care Hospital,North,Azithromycin,106,117,117
2024-11-25,H002,City Care Hospital,North,Azithromycin,97,118,118
2024-12-02,H002,City Care Hospital,North,Azithromycin,116,126,126
2024-12-09,H002,City Care Hospital,North,Azithromycin,105,125,120
2024-12-16,H002,City Care Hospital,North,Azithromycin,117,126,126
2024-12-23,H002,City Care Hospital,North,Azithromycin,130,138,138
2024-01-01,H003,Sunrise Multispeciality,West,Paracetamol,97,100,100
2024-01-08,H003,Sunrise Multispeciality,West,Paracetamol,91,94,94
2024-01-15,H003,Sunrise Multispeciality,West,Paracetamol,90,105,105
2024-01-22,H003,Sunrise Multispeciality,West,Paracetamol,107,124,112
2024-01-29,H003,Sunrise Multispeciality,West,Paracetamol,101,104,104
2024-02-05,H003,Sunrise Multispeciality,West,Paracetamol,105,119,119
2024-02-12,H003,Sunrise Multispeciality,West,Paracetamol,108,113,101
2024-02-19,H003,Sunrise Multispeciality,West,Paracetamol,103,120,120
2024-02-26,H003,Sunrise Multispeciality,West,Paracetamol,102,118,118
2024-03-04,H003,Sunrise Multispeciality,West,Paracetamol,99,110,110
2024-03-11,H003,Sunrise Multispeciality,West,Paracetamol,86,95,90
2024-03-18,H003,Sunrise Multispeciality,West,Paracetamol,96,113,113
2024-03-25,H003,Sunrise Multispeciality,West,Paracetamol,104,108,108
2024-04-01,H003,Sunrise Multispeciality,West,Paracetamol,103,126,114
2024-04-08,H003,Sunrise Multispeciality,West,Paracetamol,106,122,122
2024-04-15,H003,Sunrise Multispeciality,West,Paracetamol,103,106,106
2024-04-22,H003,Sunrise Multispeciality,West,Paracetamol,103,106,106
2024-04-29,H003,Sunrise Multispeciality,West,Paracetamol,106,121,109
2024-05-06,H003,Sunrise Multispeciality,West,Paracetamol,95,101,101
2024-05-13,H003,Sunrise Multispeciality,West,Paracetamol,98,100,100
2024-05-20,H003,Sunrise Multispeciality,West,Paracetamol,88,92,92
2024-05-27,H003,Sunrise Multispeciality,West,Paracetamol,102,102,97
2024-06-03,H003,Sunrise Multispeciality,West,Paracetamol,95,107,95
2024-06-10,H003,Sunrise Multispeciality,West,Paracetamol,96,112,112
2024-06-17,H003,Sunrise Multispeciality,West,Paracetamol,101,110,98
2024-06-24,H003,Sunrise Multispeciality,West,Paracetamol,96,99,99
2024-07-01,H003,Sunrise Multispeciality,West,Paracetamol,87,108,96
2024-07-08,H003,Sunrise Multispeciality,West,Paracetamol,91,97,97
2024-07-15,H003,Sunrise Multispeciality,West,Paracetamol,76,83,71
2024-07-22,H003,Sunrise Multispeciality,West,Paracetamol,85,109,97
2024-07-29,H003,Sunrise Multispeciality,West,Paracetamol,82,104,104
2024-08-05,H003,Sunrise Multispeciality,West,Paracetamol,69,76,76
2024-08-12,H003,Sunrise Multispeciality,West,Paracetamol,86,105,105
2024-08-19,H003,Sunrise Multispeciality,West,Paracetamol,72,75,75
2024-08-26,H003,Sunrise Multispeciality,West,Paracetamol,79,85,73
2024-09-02,H003,Sunrise Multispeciality,West,Paracetamol,71,95,95
2024-09-09,H003,Sunrise Multispeciality,West,Paracetamol,79,88,88
2024-09-16,H003,Sunrise Multispeciality,West,Paracetamol,80,82,77
2024-09-23,H003,Sunrise Multispeciality,West,Paracetamol,67,85,85
2024-09-30,H003,Sunrise Multispeciality,West,Paracetamol,62,62,62
2024-10-07,H003,Sunrise Multispeciality,West,Paracetamol,70,83,78
2024-10-14,H003,Sunrise Multispeciality,West,Paracetamol,76,77,77
2024-10-21,H003,Sunrise Multispeciality,West,Paracetamol,69,94,94
2024-10-28,H003,Sunrise Multispeciality,West,Paracetamol,67,71,59
2024-11-04,H003,Sunrise Multispeciality,West,Paracetamol,74,95,95
2024-11-11,H003,Sunrise Multispeciality,West,Paracetamol,56,60,60
2024-11-18,H003,Sunrise Multispeciality,West,Paracetamol,69,93,93
2024-11-25,H003,Sunrise Multispeciality,West,Paracetamol,65,71,71
2024-12-02,H003,Sunrise Multispeciality,West,Paracetamol,76,83,83
2024-12-09,H003,Sunrise Multispeciality,West,Paracetamol,71,93,93
2024-12-16,H003,Sunrise Multispeciality,West,Paracetamol,70,70,65
2024-12-23,H003,Sunrise Multispeciality,West,Paracetamol,75,76,71
2024-01-01,H004,Lakeview General Hospital,East,Amoxicillin,70,86,86
2024-01-08,H004,Lakeview General Hospital,East,Amoxicillin,73,75,63
2024-01-15,H004,Lakeview General Hospital,East,Amoxicillin,72,92,92
2024-01-22,H004,Lakeview General Hospital,East,Amoxicillin,83,89,89
2024-01-29,H004,Lakeview General Hospital,East,Amoxicillin,78,89,84
2024-02-05,H004,Lakeview General Hospital,East,Amoxicillin,83,85,85
2024-02-12,H004,Lakeview General Hospital,East,Amoxicillin,84,102,102
2024-02-19,H004,Lakeview General Hospital,East,Amoxicillin,77,102,97
2024-02-26,H004,Lakeview General Hospital,East,Amoxicillin,86,107,102
2024-03-04,H004,Lakeview General Hospital,East,Amoxicillin,85,89,89
2024-03-11,H004,Lakeview General Hospital,East,Amoxicillin,85,107,107
2024-03-18,H004,Lakeview General Hospital,East,Amoxicillin,81,82,77
2024-03-25,H004,Lakeview General Hospital,East,Amoxicillin,81,106,94
2024-04-01,H004,Lakeview General Hospital,East,Amoxicillin,88,93,88
2024-04-08,H004,Lakeview General Hospital,East,Amoxicillin,96,108,96
2024-04-15,H004,Lakeview General Hospital,East,Amoxicillin,78,87,75
2024-04-22,H004,Lakeview General Hospital,East,Amoxicillin,85,102,102
2024-04-29,H004,Lakeview General Hospital,East,Amoxicillin,79,81,81
2024-05-06,H004,Lakeview General Hospital,East,Amoxicillin,85,109,109
2024-05-13,H004,Lakeview General Hospital,East,Amoxicillin,82,89,89
2024-05-20,H004,Lakeview General Hospital,East,Amoxicillin,84,102,97
2024-05-27,H004,Lakeview General Hospital,East,Amoxicillin,60,77,77
2024-06-03,H004,Lakeview General Hospital,East,Amoxicillin,71,86,74
2024-06-10,H004,Lakeview General Hospital,East,Amoxicillin,67,88,88
2024-06-17,H004,Lakeview General Hospital,East,Amoxicillin,71,83,78
2024-06-24,H004,Lakeview General Hospital,East,Amoxicillin,66,91,91
2024-07-01,H004,Lakeview General Hospital,East,Amoxicillin,65,77,72
2024-07-08,H004,Lakeview General Hospital,East,Amoxicillin,71,73,73
2024-07-15,H004,Lakeview General Hospital,East,Amoxicillin,76,96,96
2024-07-22,H004,Lakeview General Hospital,East,Amoxicillin,46,67,55
2024-07-29,H004,Lakeview General Hospital,East,Amoxicillin,60,73,73
2024-08-05,H004,Lakeview General Hospital,East,Amoxicillin,62,62,62
2024-08-12,H004,Lakeview General Hospital,East,Amoxicillin,59,74,62
2024-08-19,H004,Lakeview General Hospital,East,Amoxicillin,56,56,56
2024-08-26,H004,Lakeview General Hospital,East,Amoxicillin,49,74,69
2024-09-02,H004,Lakeview General Hospital,East,Amoxicillin,50,63,58
2024-09-09,H004,Lakeview General Hospital,East,Amoxicillin,59,78,78
2024-09-16,H004,Lakeview General Hospital,East,Amoxicillin,61,75,75
2024-09-23,H004,Lakeview General Hospital,East,Amoxicillin,54,64,52
2024-09-30,H004,Lakeview General Hospital,East,Amoxicillin,48,54,54
2024-10-07,H004,Lakeview General Hospital,East,Amoxicillin,54,65,60
2024-10-14,H004,Lakeview General Hospital,East,Amoxicillin,52,66,54
2024-10-21,H004,Lakeview General Hospital,East,Amoxicillin,57,58,58
2024-10-28,H004,Lakeview General Hospital,East,Amoxicillin,55,65,65
2024-11-04,H004,Lakeview General Hospital,East,Amoxicillin,51,59,59
2024-11-11,H004,Lakeview General Hospital,East,Amoxicillin,56,78,73
2024-11-18,H004,Lakeview General Hospital,East,Amoxicillin,49,62,50
2024-11-25,H004,Lakeview General Hospital,East,Amoxicillin,62,87,87
2024-12-02,H004,Lakeview General Hospital,East,Amoxicillin,65,68,68
2024-12-09,H004,Lakeview General Hospital,East,Amoxicillin,52,73,73
2024-12-16,H004,Lakeview General Hospital,East,Amoxicillin,63,75,75
2024-12-23,H004,Lakeview General Hospital,East,Amoxicillin,55,67,67
2024-01-01,H005,St. Mary's Medical Center,Central,Metformin,87,97,97
2024-01-08,H005,St. Mary's Medical Center,Central,Metformin,96,107,107
2024-01-15,H005,St. Mary's Medical Center,Central,Metformin,89,96,96
2024-01-22,H005,St. Mary's Medical Center,Central,Metformin,90,109,104
2024-01-29,H005,St. Mary's Medical Center,Central,Metformin,92,101,96
2024-02-05,H005,St. Mary's Medical Center,Central,Metformin,97,107,95
2024-02-12,H005,St. Mary's Medical Center,Central,Metformin,97,122,110
2024-02-19,H005,St. Mary's Medical Center,Central,Metformin,101,107,107
2024-02-26,H005,St. Mary's Medical Center,Central,Metformin,98,110,98
2024-03-04,H005,St. Mary's Medical Center,Central,Metformin,108,108,108
2024-03-11,H005,St. Mary's Medical Center,Central,Metformin,110,115,115
2024-03-18,H005,St. Mary's Medical Center,Central,Metformin,102,109,104
2024-03-25,H005,St. Mary's Medical Center,Central,Metformin,97,115,115
2024-04-01,H005,St. Mary's Medical Center,Central,Metformin,111,134,134
2024-04-08,H005,St. Mary's Medical Center,Central,Metformin,113,134,134
2024-04-15,H005,St. Mary's Medical Center,Central,Metformin,106,123,111
2024-04-22,H005,St. Mary's Medical Center,Central,Metformin,99,120,115
2024-04-29,H005,St. Mary's Medical Center,Central,Metformin,108,112,112
2024-05-06,H005,St. Mary's Medical Center,Central,Metformin,115,136,131
2024-05-13,H005,St. Mary's Medical Center,Central,Metformin,95,97,85
2024-05-20,H005,St. Mary's Medical Center,Central,Metformin,108,127,127
2024-05-27,H005,St. Mary's Medical Center,Central,Metformin,103,117,117
2024-06-03,H005,St. Mary's Medical Center,Central,Metformin,99,108,108
2024-06-10,H005,St. Mary's Medical Center,Central,Metformin,106,115,110
2024-06-17,H005,St. Mary's Medical Center,Central,Metformin,94,110,110
2024-06-24,H005,St. Mary's Medical Center,Central,Metformin,103,123,118
2024-07-01,H005,St. Mary's Medical Center,Central,Metformin,108,123,123
2024-07-08,H005,St. Mary's Medical Center,Central,Metformin,100,122,122
2024-07-15,H005,St. Mary's Medical Center,Central,Metformin,93,94,94
2024-07-22,H005,St. Mary's Medical Center,Central,Metformin,87,104,99
2024-07-29,H005,St. Mary's Medical Center,Central,Metformin,89,103,103
2024-08-05,H005,St. Mary's Medical Center,Central,Metformin,85,109,97
2024-08-12,H005,St. Mary's Medical Center,Central,Metformin,104,108,96
2024-08-19,H005,St. Mary's Medical Center,Central,Metformin,93,116,111
2024-08-26,H005,St. Mary's Medical Center,Central,Metformin,88,89,89
2024-09-02,H005,St. Mary's Medical Center,Central,Metformin,86,101,101
2024-09-09,H005,St. Mary's Medical Center,Central,Metformin,87,87,87
2024-09-16,H005,St. Mary's Medical Center,Central,Metformin,91,95,95
2024-09-23,H005,St. Mary's Medical Center,Central,Metformin,86,104,92
2024-09-30,H005,St. Mary's Medical Center,Central,Metformin,104,120,120
2024-10-07,H005,St. Mary's Medical Center,Central,Metformin,90,102,102
2024-10-14,H005,St. Mary's Medical Center,Central,Metformin,91,114,102
2024-10-21,H005,St. Mary's Medical Center,Central,Metformin,98,118,118
2024-10-28,H005,St. Mary's Medical Center,Central,Metformin,106,126,126
2024-11-04,H005,St. Mary's Medical Center,Central,Metformin,106,115,103
2024-11-11,H005,St. Mary's Medical Center,Central,Metformin,97,97,92
2024-11-18,H005,St. Mary's Medical Center,Central,Metformin,103,120,115
2024-11-25,H005,St. Mary's Medical Center,Central,Metformin,104,124,124
2024-12-02,H005,St. Mary's Medical Center,Central,Metformin,108,133,128
2024-12-09,H005,St. Mary's Medical Center,Central,Metformin,108,123,123
2024-12-16,H005,St. Mary's Medical Center,Central,Metformin,102,124,124
2024-12-23,H005,St. Mary's Medical Center,Central,Metformin,102,112,112
