supplier_id,supplier_name,drug_name,price,delivery_days,on_time_rate,quality_score,rejection_rate,orders_completed
V004,HealthLink Logistics,Metformin,36.33,10,92.6,91.4,3.33,306
V004,HealthLink Logistics,Atorvastatin,74.17,6,89.5,97.3,5.92,131
V004,HealthLink Logistics,Azithromycin,42.9,6,93.9,92.9,5.53,361
V002,Pharma Supplier B,Amoxicillin,54.32,4,86.7,90.8,1.86,27
V005,Global Pharma Traders,Cetirizine,20.35,7,91.6,89.3,4.46,372
V006,TrustCare Vendors,Salbutamol,80.32,10,89.0,89.1,0.43,258
V005,Global Pharma Traders,Metformin,35.86,1,96.6,96.8,3.03,109
V002,Pharma Supplier B,Ibuprofen,28.27,2,86.4,93.4,5.51,218
V005,Global Pharma Traders,Azithromycin,48.89,6,86.4,95.4,4.93,92
V002,Pharma Supplier B,Paracetamol,24.93,2,89.0,99.3,2.02,132
V005,Global Pharma Traders,Azithromycin,38.27,4,99.5,92.8,5.75,149
V005,Global Pharma Traders,Paracetamol,21.72,5,93.6,94.3,0.62,304
V006,TrustCare Vendors,Cetirizine,23.52,5,97.8,96.0,2.21,32
V003,MediSource Distributors,Ibuprofen,25.62,1,91.3,88.4,4.31,354
V004,HealthLink Logistics,Azithromycin,44.94,6,81.4,95.1,2.22,93
V001,Pharma Supplier A,Salbutamol,98.95,10,88.8,88.4,1.24,386
V005,Global Pharma Traders,Ibuprofen,32.52,6,99.1,95.6,4.08,148
V004,HealthLink Logistics,Atorvastatin,79.18,4,81.7,99.2,3.35,314
V001,Pharma Supplier A,Insulin,335.84,10,86.7,90.9,5.11,171
V004,HealthLink Logistics,Amoxicillin,51.04,2,96.1,92.9,0.94,246
V005,Global Pharma Traders,Amlodipine,37.46,3,93.9,99.3,0.36,206
V003,MediSource Distributors,Paracetamol,21.63,5,84.6,93.5,5.89,127
V001,Pharma Supplier A,Amlodipine,35.83,2,84.5,86.4,3.59,77
V003,MediSource Distributors,Cetirizine,20.44,10,98.2,96.5,2.93,100
V003,MediSource Distributors,Cetirizine,23.08,3,90.4,94.9,0.76,307
V004,HealthLink Logistics,Azithromycin,39.07,4,93.1,90.4,0.94,333
V006,TrustCare Vendors,Cetirizine,21.3,10,87.4,87.0,5.22,274
V002,Pharma Supplier B,Omeprazole,50.71,2,97.5,99.4,3.43,188
V003,MediSource Distributors,Amoxicillin,59.94,4,84.8,95.0,6.0,220
V005,Global Pharma Traders,Omeprazole,52.75,3,84.0,90.0,5.91,53
V001,Pharma Supplier A,Ibuprofen,26.38,3,94.5,94.1,5.59,362
V004,HealthLink Logistics,Paracetamol,23.77,1,90.2,87.7,5.91,343
V002,Pharma Supplier B,Amoxicillin,62.34,6,88.1,98.9,2.28,337
V002,Pharma Supplier B,Ciprofloxacin,70.39,4,95.2,85.1,1.65,184
V006,TrustCare Vendors,Ciprofloxacin,56.19,5,80.3,95.3,5.72,32
V004,HealthLink Logistics,Ciprofloxacin,68.83,10,86.9,97.2,0.3,345
V006,TrustCare Vendors,Atorvastatin,82.0,3,91.5,87.3,5.04,385
V006,TrustCare Vendors,Omeprazole,51.05,5,94.9,97.5,2.92,167
V003,MediSource Distributors,Metformin,34.18,2,97.6,96.8,0.22,233
V001,Pharma Supplier A,Salbutamol,87.29,2,95.4,86.8,0.28,67
V005,Global Pharma Traders,Amlodipine,34.27,4,87.7,88.2,4.18,331
V001,Pharma Supplier A,Salbutamol,98.61,7,93.5,99.0,3.49,104
V005,Global Pharma Traders,Amlodipine,37.86,1,81.6,95.9,1.51,186
V003,MediSource Distributors,Cetirizine,24.14,1,86.7,94.6,3.1,274
V002,Pharma Supplier B,Salbutamol,83.34,1,95.0,89.9,2.6,250
V006,TrustCare Vendors,Amoxicillin,55.64,6,94.4,93.3,2.57,310
V004,HealthLink Logistics,Azithromycin,39.28,2,86.1,86.8,0.48,387
V001,Pharma Supplier A,Salbutamol,92.11,1,84.0,95.5,4.99,337
V005,Global Pharma Traders,Amoxicillin,60.31,7,87.7,88.9,1.06,193
V006,TrustCare Vendors,Omeprazole,59.57,3,88.7,99.0,2.91,174
V002,Pharma Supplier B,Ciprofloxacin,58.95,5,97.7,93.4,3.9,319
V005,Global Pharma Traders,Metformin,40.5,3,81.4,99.4,4.46,347
V002,Pharma Supplier B,Paracetamol,22.26,3,80.1,88.8,2.42,125
V004,HealthLink Logistics,Paracetamol,26.34,4,96.7,87.0,1.73,187
V003,MediSource Distributors,Insulin,273.53,5,94.4,92.1,0.22,139
V001,Pharma Supplier A,Omeprazole,53.04,4,96.2,92.0,0.99,276
V004,HealthLink Logistics,Ciprofloxacin,71.31,1,86.2,94.0,4.11,341
V005,Global Pharma Traders,Atorvastatin,84.18,2,92.8,87.8,3.53,172
V001,Pharma Supplier A,Azithromycin,40.18,6,82.3,93.2,5.82,215
V003,MediSource Distributors,Amoxicillin,54.9,2,93.1,88.4,2.41,71
V004,HealthLink Logistics,Ciprofloxacin,58.25,3,96.8,87.2,4.04,92
V005,Global Pharma Traders,Salbutamol,93.43,4,89.6,98.8,1.4,114
V002,Pharma Supplier B,Cetirizine,19.12,6,93.5,89.6,4.04,132
V001,Pharma Supplier A,Atorvastatin,86.58,1,80.5,86.4,3.48,327
V001,Pharma Supplier A,Azithromycin,46.94,4,98.2,91.1,5.79,211
V006,TrustCare Vendors,Cetirizine,21.81,3,95.0,92.8,4.36,346
V001,Pharma Supplier A,Ibuprofen,31.2,4,83.2,90.8,5.47,240
V004,HealthLink Logistics,Amoxicillin,62.04,2,89.5,91.2,4.3,391
V003,MediSource Distributors,Cetirizine,23.1,5,93.8,97.5,4.24,42
V004,HealthLink Logistics,Omeprazole,51.66,1,92.7,87.4,5.04,172
V001,Pharma Supplier A,Omeprazole,53.41,2,97.2,91.4,5.83,264
V005,Global Pharma Traders,Ibuprofen,29.48,7,92.1,91.7,3.83,64
V003,MediSource Distributors,Ibuprofen,26.63,6,86.3,91.0,3.71,22
V002,Pharma Supplier B,Insulin,349.29,6,84.4,89.8,0.96,308
V004,HealthLink Logistics,Atorvastatin,79.51,1,92.5,93.6,5.0,191
V006,TrustCare Vendors,Paracetamol,25.75,3,90.4,93.4,0.59,177
V003,MediSource Distributors,Cetirizine,22.24,5,87.3,92.3,1.37,284
V002,Pharma Supplier B,Amoxicillin,58.27,3,89.5,99.2,0.87,127
V004,HealthLink Logistics,Azithromycin,49.39,5,95.5,86.7,5.36,202
V004,HealthLink Logistics,Amoxicillin,58.08,10,87.2,97.4,5.49,84
V001,Pharma Supplier A,Insulin,327.86,4,91.2,97.5,1.07,265
V003,MediSource Distributors,Omeprazole,46.83,7,85.1,98.4,4.4,280
V005,Global Pharma Traders,Ibuprofen,31.96,5,91.6,85.7,5.26,104
V002,Pharma Supplier B,Amlodipine,30.95,10,82.6,85.1,1.41,295
V003,MediSource Distributors,Ibuprofen,27.64,1,98.0,99.3,0.6,218
V003,MediSource Distributors,Omeprazole,48.9,2,82.7,92.3,5.81,250
V002,Pharma Supplier B,Azithromycin,41.78,6,90.1,96.4,1.28,163
V004,HealthLink Logistics,Paracetamol,26.08,10,81.9,95.9,2.66,102
V002,Pharma Supplier B,Salbutamol,96.24,4,84.6,89.7,3.99,218
V005,Global Pharma Traders,Metformin,34.98,1,96.0,86.8,3.15,262
V005,Global Pharma Traders,Salbutamol,86.54,6,81.8,89.8,0.7,224
V001,Pharma Supplier A,Metformin,34.52,5,91.6,93.1,0.47,190
V003,MediSource Distributors,Azithromycin,45.29,10,98.6,88.5,3.04,129
V002,Pharma Supplier B,Salbutamol,79.42,3,92.2,97.4,0.26,25
V001,Pharma Supplier A,Insulin,292.97,5,84.1,98.3,0.74,192
V002,Pharma Supplier B,Ciprofloxacin,71.2,1,83.5,87.8,2.64,279
V005,Global Pharma Traders,Paracetamol,21.96,4,83.5,85.7,4.49,167
V003,MediSource Distributors,Salbutamol,94.42,7,87.0,99.0,3.57,142
V001,Pharma Supplier A,Atorvastatin,77.03,1,87.2,91.3,3.55,328
V006,TrustCare Vendors,Cetirizine,19.7,6,91.4,85.2,1.07,279
V003,MediSource Distributors,Metformin,39.34,10,96.0,91.8,3.85,167
V001,Pharma Supplier A,Ibuprofen,26.48,1,90.4,88.2,4.64,275
V002,Pharma Supplier B,Metformin,37.29,3,96.3,98.1,5.64,146
V003,MediSource Distributors,Azithromycin,44.85,1,80.5,97.8,1.94,335
V004,HealthLink Logistics,Ibuprofen,30.62,3,87.4,88.3,0.72,255
V005,Global Pharma Traders,Azithromycin,39.57,5,96.7,89.4,3.95,270
V004,HealthLink Logistics,Ciprofloxacin,66.65,7,89.1,92.5,1.83,257
V001,Pharma Supplier A,Omeprazole,52.16,6,86.9,87.9,3.82,280
V005,Global Pharma Traders,Omeprazole,51.67,4,94.9,86.3,0.38,378
V004,HealthLink Logistics,Atorvastatin,70.04,1,80.7,91.5,5.05,328
V002,Pharma Supplier B,Paracetamol,23.41,2,90.6,87.4,4.3,350
V001,Pharma Supplier A,Ibuprofen,28.98,7,86.7,87.1,5.22,380
V003,MediSource Distributors,Paracetamol,21.99,10,97.1,86.5,3.54,113
V003,MediSource Distributors,Insulin,343.93,1,97.5,97.3,1.45,92
V001,Pharma Supplier A,Azithromycin,47.09,7,98.3,92.1,0.67,380
V002,Pharma Supplier B,Ciprofloxacin,67.12,3,89.6,89.7,4.04,383
V002,Pharma Supplier B,Omeprazole,54.5,7,86.0,92.8,1.13,171
V004,HealthLink Logistics,Metformin,40.58,2,94.9,91.9,0.54,345
V003,MediSource Distributors,Azithromycin,39.22,10,82.9,99.5,2.06,380
V005,Global Pharma Traders,Cetirizine,21.35,4,90.2,87.7,4.23,85
V006,TrustCare Vendors,Ibuprofen,27.7,2,91.1,92.4,4.32,272
V002,Pharma Supplier B,Cetirizine,23.91,1,93.2,90.5,1.69,280
V001,Pharma Supplier A,Amlodipine,32.98,10,96.7,89.1,4.87,353
V002,Pharma Supplier B,Atorvastatin,87.68,5,85.8,96.8,5.04,134
V003,MediSource Distributors,Paracetamol,23.82,6,90.8,96.1,3.51,156
V004,HealthLink Logistics,Cetirizine,21.7,10,81.4,90.2,4.18,293
V001,Pharma Supplier A,Omeprazole,55.97,4,95.7,85.9,0.33,339
V006,TrustCare Vendors,Metformin,36.77,4,82.0,90.2,0.63,276
V001,Pharma Supplier A,Omeprazole,57.23,6,98.6,97.4,5.22,388
V005,Global Pharma Traders,Amoxicillin,52.03,4,87.6,91.2,3.73,289
V003,MediSource Distributors,Ciprofloxacin,60.56,1,95.3,93.1,4.43,317
V001,Pharma Supplier A,Omeprazole,47.79,6,89.8,99.5,0.28,315
V006,TrustCare Vendors,Amoxicillin,51.92,3,82.5,97.6,2.34,89
V003,MediSource Distributors,Salbutamol,80.73,10,96.1,96.7,3.85,362
V005,Global Pharma Traders,Insulin,341.4,2,86.3,97.5,4.73,168
V004,HealthLink Logistics,Ciprofloxacin,56.21,1,89.0,95.6,3.56,109
V003,MediSource Distributors,Cetirizine,20.71,2,90.4,94.1,2.75,255
V005,Global Pharma Traders,Ibuprofen,30.4,10,99.5,88.0,3.27,63
V004,HealthLink Logistics,Cetirizine,18.94,7,98.2,87.0,5.33,43
V006,TrustCare Vendors,Ciprofloxacin,57.62,5,89.8,86.6,2.89,384
V004,HealthLink Logistics,Metformin,38.02,5,81.2,92.4,4.28,300
V003,MediSource Distributors,Amoxicillin,61.82,1,86.8,97.0,1.25,173
V004,HealthLink Logistics,Amoxicillin,55.76,2,85.5,94.7,2.59,382
V003,MediSource Distributors,Ibuprofen,27.18,6,94.0,94.5,2.69,63
V003,MediSource Distributors,Azithromycin,43.67,6,83.6,87.7,4.04,194
V002,Pharma Supplier B,Amoxicillin,63.0,3,89.0,95.2,4.53,148
V001,Pharma Supplier A,Azithromycin,45.85,7,96.9,96.1,3.35,398
V001,Pharma Supplier A,Metformin,38.76,6,82.3,86.1,2.52,52
V003,MediSource Distributors,Ibuprofen,28.29,5,80.4,97.5,0.57,280
V002,Pharma Supplier B,Metformin,43.62,10,98.4,97.2,0.34,86
V002,Pharma Supplier B,Metformin,42.74,5,92.1,91.3,2.66,94
V006,TrustCare Vendors,Ciprofloxacin,63.27,4,82.4,97.6,3.53,170
V005,Global Pharma Traders,Amlodipine,32.17,2,84.1,94.4,3.42,186
V001,Pharma Supplier A,Azithromycin,40.01,4,87.3,92.4,1.32,44
V002,Pharma Supplier B,Amoxicillin,60.51,1,90.0,99.2,3.35,203
V001,Pharma Supplier A,Ciprofloxacin,62.94,7,93.7,85.5,4.21,302
V001,Pharma Supplier A,Cetirizine,23.56,6,80.9,98.6,4.68,356
V004,HealthLink Logistics,Atorvastatin,69.08,4,90.5,86.9,5.17,309
V005,Global Pharma Traders,Paracetamol,23.68,3,84.3,99.0,0.85,307
V006,TrustCare Vendors,Cetirizine,21.57,1,88.0,96.5,5.24,41
V002,Pharma Supplier B,Omeprazole,47.89,2,87.9,86.1,3.57,132
V001,Pharma Supplier A,Salbutamol,86.75,7,93.5,94.0,4.33,314
V003,MediSource Distributors,Omeprazole,56.14,7,87.2,92.3,3.6,304
V005,Global Pharma Traders,Amoxicillin,54.92,1,98.9,98.8,2.16,27
V006,TrustCare Vendors,Omeprazole,58.3,10,98.2,89.2,2.71,296
V005,Global Pharma Traders,Amoxicillin,51.48,1,84.7,93.8,3.28,85
V001,Pharma Supplier A,Paracetamol,26.76,4,81.8,90.4,4.62,230
V005,Global Pharma Traders,Paracetamol,24.71,2,90.5,91.7,2.59,373
V006,TrustCare Vendors,Azithromycin,47.02,10,98.1,96.0,3.35,200
V003,MediSource Distributors,Azithromycin,45.12,3,87.1,91.8,1.37,94
V004,HealthLink Logistics,Insulin,288.55,4,88.8,89.4,5.23,220
V001,Pharma Supplier A,Cetirizine,20.9,10,88.5,91.8,5.17,272
V001,Pharma Supplier A,Amoxicillin,65.44,5,95.3,89.2,1.16,52
V001,Pharma Supplier A,Amoxicillin,56.34,2,90.1,85.6,1.78,281
V003,MediSource Distributors,Insulin,325.13,4,97.6,91.4,1.55,325
V001,Pharma Supplier A,Azithromycin,45.69,1,92.6,86.3,3.38,178
V005,Global Pharma Traders,Salbutamol,96.56,3,97.7,93.8,1.26,114
V001,Pharma Supplier A,Salbutamol,93.23,3,81.2,91.0,1.84,259
V005,Global Pharma Traders,Ciprofloxacin,69.81,1,94.9,89.0,3.79,212
V003,MediSource Distributors,Omeprazole,47.78,3,83.3,97.2,1.13,180
V006,TrustCare Vendors,Salbutamol,98.67,6,97.8,93.1,4.87,86
V002,Pharma Supplier B,Azithromycin,38.64,1,83.1,95.9,0.24,83
V002,Pharma Supplier B,Metformin,37.14,10,82.5,91.4,0.85,281
V001,Pharma Supplier A,Insulin,311.56,2,97.4,93.2,3.26,107
V002,Pharma Supplier B,Metformin,35.23,4,86.5,85.4,0.59,208
V005,Global Pharma Traders,Metformin,34.87,5,89.9,94.2,1.58,376
V004,HealthLink Logistics,Atorvastatin,82.43,5,82.7,89.4,4.56,28
V002,Pharma Supplier B,Amlodipine,36.88,5,93.9,89.8,2.97,264
V005,Global Pharma Traders,Salbutamol,93.91,3,85.1,93.5,1.7,125
V002,Pharma Supplier B,Amoxicillin,57.99,6,94.6,85.1,5.81,156
V005,Global Pharma Traders,Paracetamol,27.32,2,93.7,98.9,2.93,168
V005,Global Pharma Traders,Ciprofloxacin,65.37,2,83.3,92.2,0.96,155
V006,TrustCare Vendors,Azithromycin,47.93,1,81.4,97.1,1.64,296
V006,TrustCare Vendors,Amoxicillin,57.98,6,91.2,95.7,4.09,224
V005,Global Pharma Traders,Omeprazole,53.87,4,98.6,92.2,1.12,193
V006,TrustCare Vendors,Ibuprofen,30.66,3,93.0,85.1,2.77,243
V002,Pharma Supplier B,Metformin,38.67,2,85.6,91.6,1.07,172
V005,Global Pharma Traders,Cetirizine,23.47,5,90.0,91.3,3.27,360
V005,Global Pharma Traders,Metformin,40.81,2,81.7,95.5,2.6,59
V002,Pharma Supplier B,Ciprofloxacin,70.81,4,94.7,95.3,5.04,58
V006,TrustCare Vendors,Paracetamol,26.17,4,93.5,89.9,0.94,186
V006,TrustCare Vendors,Omeprazole,54.49,3,81.8,98.3,0.66,305
V001,Pharma Supplier A,Azithromycin,43.31,3,85.2,95.9,2.19,399
V003,MediSource Distributors,Ciprofloxacin,64.61,1,92.0,90.6,5.86,152
V003,MediSource Distributors,Ibuprofen,30.43,6,99.0,97.9,4.6,81
V002,Pharma Supplier B,Amlodipine,38.42,2,85.6,90.4,4.41,202
V006,TrustCare Vendors,Azithromycin,39.44,5,91.2,98.9,2.09,87
V005,Global Pharma Traders,Atorvastatin,81.69,10,85.5,89.0,1.27,77
V005,Global Pharma Traders,Paracetamol,27.0,3,93.7,85.2,5.13,294
V003,MediSource Distributors,Ibuprofen,27.78,2,96.5,88.1,5.93,327
V003,MediSource Distributors,Omeprazole,54.51,3,96.0,92.4,5.55,90
V001,Pharma Supplier A,Salbutamol,78.82,1,91.7,92.1,1.57,333
V003,MediSource Distributors,Azithromycin,47.48,2,89.2,86.8,2.31,84
V006,TrustCare Vendors,Paracetamol,24.91,7,92.6,87.1,4.06,364
V004,HealthLink Logistics,Amoxicillin,57.0,4,87.5,99.4,3.99,338
V002,Pharma Supplier B,Paracetamol,23.35,4,91.5,92.1,4.58,292
V003,MediSource Distributors,Ibuprofen,27.13,4,88.9,90.7,4.05,388
V002,Pharma Supplier B,Amoxicillin,58.93,1,89.0,92.4,4.19,23
V005,Global Pharma Traders,Paracetamol,26.15,7,82.3,88.8,2.02,201
V002,Pharma Supplier B,Omeprazole,59.95,10,99.5,95.6,2.35,378
