shipment_id,drug_name,batch_id,origin,destination,dispatch_time,delivery_time,latitude,longitude,status
SH103,Amoxicillin,AMO-2023-005,Pune,Bhopal,2024-10-17 17:45,2024-10-19 12:45,11.9429,75.4431,Delivered
SH104,Amlodipine,AML-2024-021,Kolkata,Kolkata,2023-08-18 09:45,2023-08-19 10:45,24.9533,83.9605,Delivered
SH105,Omeprazole,OME-2024-021,Bhubaneswar,Bhubaneswar,2025-04-17 17:30,2025-04-18 00:30,23.8799,77.548,Delivered
SH106,Ibuprofen,IBU-2025-016,Chandigarh,Lucknow,2024-08-10 08:15,2024-08-12 04:15,25.9843,79.8881,Delivered
SH107,Insulin,INS-2023-008,Bangalore,Patna,2025-04-06 14:30,2025-04-08 13:30,22.6846,80.9682,Delivered
SH108,Omeprazole,OME-2023-009,Raipur,Delhi,2024-09-02 12:45,,9.3676,85.3564,Delayed
SH109,Salbutamol,SAL-2024-014,Mysuru,Hyderabad,2025-03-29 17:45,2025-03-30 20:45,18.9671,84.9761,Delivered
SH110,Amoxicillin,AMO-2023-005,Ahmedabad,Kolkata,2023-04-18 18:45,2023-04-19 03:45,21.0546,76.9575,Delivered
SH111,Ciprofloxacin,CIP-2024-021,Bhopal,Bhopal,2024-11-04 16:00,2024-11-05 15:00,21.4813,86.1388,Delivered
SH112,Paracetamol,PAR-2025-021,Pune,Patna,2023-07-21 08:45,2023-07-23 08:45,9.9278,87.9164,Delivered
SH113,Ibuprofen,IBU-2025-005,Pune,Lucknow,2023-11-09 14:00,,9.4481,75.1237,Delayed
SH114,Amoxicillin,AMO-2025-002,Mysuru,Bhopal,2025-06-21 08:45,2025-06-22 15:45,22.512,78.2989,Delivered
SH115,Amlodipine,AML-2023-008,Ahmedabad,Mumbai,2023-12-12 10:45,2023-12-13 20:45,12.6427,75.4593,Delivered
SH116,Cetirizine,CET-2025-009,Bhubaneswar,Ahmedabad,2024-12-30 17:15,,26.768,80.3567,Delayed
SH117,Atorvastatin,ATO-2024-017,Bhopal,Kolkata,2023-06-15 14:45,2023-06-17 14:45,11.0447,86.1724,Delivered
SH118,Azithromycin,AZI-2023-018,Bhopal,Patna,2025-07-17 19:30,2025-07-19 18:30,11.8442,79.1947,Delivered
SH119,Paracetamol,PAR-2025-004,Lucknow,Hyderabad,2023-11-16 18:30,2023-11-18 12:30,8.8069,73.1004,Delivered
SH120,Ciprofloxacin,CIP-2025-014,Nagpur,Hyderabad,2024-01-10 10:30,2024-01-12 05:30,15.2341,78.5519,Delivered
SH121,Paracetamol,PAR-2025-004,Delhi,Mysuru,2025-12-19 16:15,2025-12-21 13:15,24.4856,88.3503,Delivered
SH122,Ciprofloxacin,CIP-2024-006,Chennai,Hyderabad,2023-09-17 14:30,2023-09-18 18:30,16.9584,77.4138,Delivered
SH123,Paracetamol,PAR-2023-009,Ahmedabad,Nagpur,2025-06-13 19:00,2025-06-14 21:00,26.3657,75.2625,Delivered
SH124,Ibuprofen,IBU-2025-016,Lucknow,Bangalore,2025-01-16 13:30,2025-01-17 23:30,24.0496,85.0158,Delivered
SH125,Paracetamol,PAR-2025-021,Pune,Kolkata,2023-06-07 07:00,2023-06-08 07:00,26.1756,86.9487,Delivered
SH126,Paracetamol,PAR-2024-001,Chandigarh,Bangalore,2023-11-11 07:45,,12.068,79.8931,In Transit
SH127,Atorvastatin,ATO-2023-016,Bhubaneswar,Bhubaneswar,2023-11-14 16:45,2023-11-15 16:45,26.4431,84.2398,Delivered
SH128,Ciprofloxacin,CIP-2023-009,Bangalore,Patna,2023-05-31 19:00,2023-06-02 05:00,17.1458,72.6889,Delivered
SH129,Ciprofloxacin,CIP-2024-019,Kolkata,Chennai,2025-06-25 14:30,,22.266,74.4977,Delayed
SH130,Azithromycin,AZI-2023-018,Nagpur,Lucknow,2025-01-18 12:00,,16.801,73.9774,Delayed
SH131,Salbutamol,SAL-2023-018,Ahmedabad,Patna,2024-03-24 07:15,2024-03-26 01:15,24.4353,76.0041,Delivered
SH132,Salbutamol,SAL-2023-007,Delhi,Pune,2025-08-11 17:00,2025-08-12 23:00,12.1353,77.3282,Delivered
SH133,Ibuprofen,IBU-2024-002,Raipur,Bhopal,2024-05-18 14:00,,25.8611,82.1778,In Transit
SH134,Amoxicillin,AMO-2023-011,Chennai,Bhopal,2023-07-18 20:00,2023-07-20 12:00,15.4151,87.2837,Delivered
SH135,Salbutamol,SAL-2025-001,Kolkata,Raipur,2025-11-29 20:15,2025-12-01 08:15,17.4793,74.971,Delivered
SH136,Omeprazole,OME-2024-021,Kolkata,Mysuru,2023-11-30 12:15,2023-12-02 06:15,22.0952,82.1665,Delivered
SH137,Amlodipine,AML-2024-010,Kolkata,Ahmedabad,2025-12-04 13:00,2025-12-04 22:00,23.8631,85.343,Delivered
SH138,Ciprofloxacin,CIP-2024-029,Chennai,Hyderabad,2025-08-06 14:15,2025-08-07 08:15,20.3599,86.9662,Delivered
SH139,Metformin,MET-2025-002,Patna,Raipur,2025-02-15 17:45,,22.5668,76.8606,In Transit
SH140,Ibuprofen,IBU-2023-022,Mumbai,Nagpur,2023-01-01 13:00,,26.4025,81.4492,In Transit
SH141,Insulin,INS-2024-009,Pune,Mysuru,2024-05-02 16:15,2024-05-04 06:15,14.889,84.7653,Delivered
SH142,Ibuprofen,IBU-2023-012,Chennai,Chennai,2023-07-29 11:45,,14.3558,82.6599,In Transit
SH143,Paracetamol,PAR-2025-020,Chennai,Delhi,2023-11-20 07:30,,16.5616,85.9389,Delayed
SH144,Atorvastatin,ATO-2023-022,Nagpur,Pune,2025-08-11 14:15,2025-08-13 00:15,20.1353,74.8144,Delivered
SH145,Atorvastatin,ATO-2025-012,Bhopal,Hyderabad,2025-08-13 07:45,2025-08-13 17:45,15.2589,79.3027,Delivered
SH146,Salbutamol,SAL-2023-005,Chennai,Pune,2023-07-18 06:45,2023-07-19 08:45,18.4326,83.8961,Delivered
SH147,Omeprazole,OME-2023-001,Bhubaneswar,Ahmedabad,2024-09-27 08:00,,10.979,78.3536,In Transit
SH148,Atorvastatin,ATO-2025-012,Raipur,Patna,2025-05-21 11:15,2025-05-23 02:15,19.3141,82.9143,Delivered
SH149,Azithromycin,AZI-2025-016,Kolkata,Delhi,2024-10-02 11:45,2024-10-03 19:45,18.1618,78.3152,Delivered
SH150,Insulin,INS-2023-001,Hyderabad,Patna,2025-06-07 07:30,2025-06-08 03:30,15.9359,82.2464,Delivered
SH151,Ciprofloxacin,CIP-2024-017,Hyderabad,Chandigarh,2023-06-20 11:00,,26.271,77.107,In Transit
SH152,Salbutamol,SAL-2024-002,Ahmedabad,Mysuru,2024-08-10 07:15,2024-08-11 00:15,9.2193,85.3892,Delivered
SH153,Insulin,INS-2024-010,Bhopal,Kolkata,2023-01-15 12:30,2023-01-15 23:30,23.0351,84.0222,Delivered
SH154,Paracetamol,PAR-2025-003,Patna,Bangalore,2025-02-03 12:15,,23.335,86.2377,In Transit
SH155,Cetirizine,CET-2024-004,Kolkata,Ahmedabad,2025-06-16 15:15,2025-06-17 14:15,8.781,73.3951,Delivered
SH156,Amoxicillin,AMO-2023-006,Mumbai,Chandigarh,2024-04-05 07:45,2024-04-05 21:45,10.1958,75.6592,Delivered
SH157,Paracetamol,PAR-2024-005,Bhubaneswar,Bangalore,2024-04-29 11:45,2024-04-30 17:45,13.1929,76.2223,Delivered
SH158,Ciprofloxacin,CIP-2024-027,Chennai,Chennai,2024-06-15 18:30,,23.1121,73.443,Delayed
SH159,Metformin,MET-2024-009,Patna,Bhopal,2024-03-26 14:00,2024-03-27 22:00,16.9994,72.8682,Delivered
SH160,Atorvastatin,ATO-2025-006,Mysuru,Patna,2023-07-05 19:00,2023-07-07 10:00,18.5891,80.4481,Delivered
SH161,Salbutamol,SAL-2023-011,Bhopal,Ahmedabad,2024-05-14 06:00,,16.4891,83.2091,Delayed
SH162,Atorvastatin,ATO-2025-012,Raipur,Ahmedabad,2025-08-26 11:45,2025-08-28 04:45,27.0433,82.3431,Delivered
SH163,Ciprofloxacin,CIP-2023-008,Kolkata,Pune,2024-09-27 18:00,,22.1042,77.5924,Delayed
SH164,Cetirizine,CET-2025-011,Ahmedabad,Bhubaneswar,2023-11-21 15:45,,25.5984,88.3202,In Transit
SH165,Salbutamol,SAL-2024-015,Chennai,Chandigarh,2024-09-01 15:45,2024-09-02 13:45,20.0237,79.3365,Delivered
SH166,Azithromycin,AZI-2025-015,Raipur,Delhi,2023-12-12 12:30,2023-12-12 23:30,20.426,79.4659,Delivered
SH167,Amlodipine,AML-2023-008,Mumbai,Patna,2024-12-12 16:30,2024-12-13 02:30,8.7316,85.8492,Delivered
SH168,Azithromycin,AZI-2024-005,Mumbai,Hyderabad,2023-05-23 18:30,,26.8588,87.5893,Delayed
SH169,Ciprofloxacin,CIP-2024-011,Hyderabad,Pune,2025-11-02 19:30,2025-11-04 00:30,22.0103,83.6579,Delivered
SH170,Paracetamol,PAR-2024-005,Patna,Delhi,2024-09-01 10:00,2024-09-03 04:00,28.2598,81.1552,Delivered
SH171,Amlodipine,AML-2024-004,Hyderabad,Mysuru,2024-04-21 10:00,2024-04-22 18:00,17.7972,73.8902,Delivered
SH172,Metformin,MET-2024-005,Mysuru,Mysuru,2023-08-29 17:30,2023-08-30 18:30,25.2177,82.2402,Delivered
SH173,Paracetamol,PAR-2025-021,Ahmedabad,Delhi,2025-11-16 10:30,,11.3578,87.3786,In Transit
SH174,Paracetamol,PAR-2023-009,Pune,Hyderabad,2024-08-05 09:15,2024-08-07 04:15,14.1898,88.3967,Delivered
SH175,Atorvastatin,ATO-2025-007,Mysuru,Mumbai,2023-04-11 12:45,2023-04-12 12:45,21.9809,84.4156,Delivered
SH176,Metformin,MET-2023-019,Mysuru,Ahmedabad,2023-06-01 20:30,2023-06-02 10:30,18.6735,74.4158,Delivered
SH177,Azithromycin,AZI-2025-008,Chennai,Mumbai,2025-05-10 13:45,,19.546,74.0826,In Transit
SH178,Metformin,MET-2023-006,Pune,Bhopal,2024-07-13 20:00,2024-07-14 23:00,15.784,74.2958,Delivered
SH179,Omeprazole,OME-2023-009,Raipur,Pune,2024-04-05 12:15,,23.7943,77.5854,In Transit
SH180,Ibuprofen,IBU-2024-011,Pune,Chandigarh,2024-01-14 15:30,,27.4627,82.6443,Delayed
SH181,Salbutamol,SAL-2025-001,Bhubaneswar,Chennai,2025-10-04 09:30,,27.8694,76.4075,Delayed
SH182,Salbutamol,SAL-2023-013,Chandigarh,Delhi,2023-02-23 14:00,2023-02-24 07:00,18.5558,83.1013,Delivered
SH183,Cetirizine,CET-2023-006,Patna,Chandigarh,2025-06-07 09:00,2025-06-08 06:00,9.0094,79.3247,Delivered
SH184,Azithromycin,AZI-2025-020,Raipur,Patna,2023-12-22 14:45,2023-12-23 16:45,26.5019,81.9321,Delivered
SH185,Cetirizine,CET-2025-012,Ahmedabad,Delhi,2024-03-24 20:15,,12.3167,74.446,Delayed
SH186,Omeprazole,OME-2023-015,Nagpur,Raipur,2025-07-20 12:00,,20.2295,83.6629,In Transit
SH187,Insulin,INS-2023-004,Patna,Chandigarh,2024-05-13 08:45,2024-05-14 11:45,25.8517,72.8532,Delivered
SH188,Salbutamol,SAL-2023-005,Mysuru,Lucknow,2024-08-09 08:30,2024-08-10 11:30,19.3009,78.244,Delivered
SH189,Cetirizine,CET-2025-012,Ahmedabad,Kolkata,2024-03-07 08:15,2024-03-07 21:15,10.2631,85.2496,Delivered
SH190,Amlodipine,AML-2023-017,Nagpur,Bangalore,2024-03-19 13:45,2024-03-20 22:45,19.1435,72.7419,Delivered
SH191,Insulin,INS-2023-008,Mysuru,Chennai,2023-11-30 20:00,2023-12-01 15:00,26.3548,78.2186,Delivered
SH192,Ciprofloxacin,CIP-2023-002,Lucknow,Pune,2025-08-23 11:45,2025-08-23 17:45,12.5576,83.2201,Delivered
SH193,Omeprazole,OME-2024-021,Patna,Mumbai,2023-12-07 15:15,2023-12-08 07:15,9.4248,73.8147,Delivered
SH194,Insulin,INS-2023-001,Hyderabad,Lucknow,2024-04-25 12:30,2024-04-25 20:30,18.4994,87.486,Delivered
SH195,Azithromycin,AZI-2024-017,Bhopal,Hyderabad,2025-09-16 11:00,2025-09-17 23:00,16.7913,75.1554,Delivered
SH196,Amlodipine,AML-2024-020,Mumbai,Ahmedabad,2025-12-09 17:15,2025-12-11 13:15,24.1987,77.0585,Delivered
SH197,Omeprazole,OME-2025-020,Delhi,Kolkata,2025-04-09 17:15,2025-04-11 05:15,16.2908,76.1628,Delivered
SH198,Metformin,MET-2024-005,Hyderabad,Ahmedabad,2024-03-07 07:15,,8.0732,76.0636,In Transit
SH199,Metformin,MET-2024-017,Delhi,Chandigarh,2023-07-09 14:30,2023-07-10 17:30,14.8669,76.7594,Delivered
SH200,Cetirizine,CET-2024-007,Bhopal,Kolkata,2024-06-12 12:45,,11.1925,73.6273,Delayed
SH201,Ciprofloxacin,CIP-2025-024,Bhubaneswar,Bangalore,2025-06-07 14:45,,11.9774,83.2172,In Transit
SH202,Ibuprofen,IBU-2024-007,Pune,Nagpur,2025-04-14 20:45,2025-04-15 08:45,10.8966,80.2388,Delivered
SH203,Atorvastatin,ATO-2023-005,Lucknow,Delhi,2025-08-02 17:00,2025-08-03 01:00,10.3142,77.6526,Delivered
SH204,Insulin,INS-2024-003,Patna,Hyderabad,2025-06-06 08:30,,22.6004,76.9308,In Transit
SH205,Azithromycin,AZI-2024-017,Bhopal,Mumbai,2025-07-01 07:45,2025-07-02 02:45,21.053,74.986,Delivered
SH206,Azithromycin,AZI-2024-014,Mumbai,Chandigarh,2024-05-12 16:15,2024-05-12 20:15,11.1366,86.4857,Delivered
SH207,Amoxicillin,AMO-2023-006,Ahmedabad,Bhubaneswar,2025-01-10 16:15,2025-01-11 15:15,18.6341,80.2275,Delivered
SH208,Azithromycin,AZI-2023-010,Nagpur,Hyderabad,2024-07-19 14:15,,13.6871,80.5462,Delayed
SH209,Ibuprofen,IBU-2025-016,Chandigarh,Chandigarh,2025-03-17 15:15,2025-03-17 21:15,18.9025,76.9126,Delivered
SH210,Amoxicillin,AMO-2025-014,Bhubaneswar,Ahmedabad,2024-07-09 09:45,2024-07-10 23:45,13.9531,78.9324,Delivered
SH211,Metformin,MET-2023-014,Pune,Chandigarh,2024-08-19 17:15,,25.674,83.848,In Transit
